FileNum,Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1,text1.txt,1,12,99,95.2,1.79,99,12,33.33,75,16.67,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,8.33,8.33,0,0,8.33,8.33,8.33,8.33,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,8.33,0,8.33,8.33,0,25,8.33,0,16.67,0,0,0,16.67,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,0,8.33,0,0,0,0
2,text2.txt,1,24,80.75,50,98.01,25.77,8,25,75,41.67,8.33,0,0,0,0,0,0,8.33,4.17,16.67,4.17,8.33,8.33,0,25,4.17,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,8.33,4.17,0,16.67,8.33,0,33.33,0,8.33,25,8.33,0,0,0,0,0,0,0,0,0,0,0,20.83,8.33,0,0,0,4.17,0,0,0,0,8.33,0
3,text3.txt,1,19,99,70.08,1,97.58,19,15.79,63.16,36.84,0,0,0,0,0,0,0,0,10.53,26.32,0,0,0,0,10.53,0,0,0,0,0,15.79,10.53,5.26,5.26,0,0,5.26,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,5.26,5.26,0,5.26,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,0,0,0,0,0,10.53,0,0,0
4,text4.txt,1,12,92.84,50,1.79,99,12,25,75,16.67,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,16.67,8.33,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67,0,8.33,0,8.33,0,0,0,0,0,0,25,0,16.67,8.33,0,0,0,0,0,0,0,0,16.67,0,8.33,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
5,text5.txt,1,10,99,15.86,99,25.77,10,30,90,50,10,10,10,0,0,0,0,0,20,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40,0,10,30,10,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
6,text6.txt,1,27,99,35.54,92.47,1,27,22.22,81.48,37.04,0,0,0,0,0,0,0,0,14.81,14.81,7.41,0,0,0,11.11,7.41,7.41,0,11.11,7.41,3.7,0,3.7,0,0,0,0,0,0,0,0,7.41,0,0,0,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7,0,25.93,0,3.7,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,3.7,0,0,0,0,0,0,0,0,7.41,0
7,text7.txt,1,13,82,22.08,94.81,25.77,13,15.38,76.92,53.85,7.69,7.69,0,0,0,7.69,0,0,7.69,15.38,7.69,7.69,0,7.69,15.38,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,7.69,0,0,0,0,0,7.69,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,7.69,15.38,0,30.77,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0
8,text8.txt,1,27,92.84,64.46,58.07,88.52,27,18.52,77.78,48.15,11.11,3.7,3.7,0,0,0,0,7.41,7.41,18.52,7.41,7.41,0,0,14.81,3.7,3.7,3.7,0,3.7,3.7,3.7,0,0,0,0,7.41,0,0,0,0,7.41,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,3.7,0,3.7,0,0,0,3.7,7.41,0,18.52,3.7,3.7,11.11,3.7,0,0,0,0,0,0,0,0,0,0,0,22.22,3.7,7.41,0,0,0,0,0,7.41,3.7,0,0
9,text9.txt,1,24,98.02,33.83,74.76,25.77,24,29.17,70.83,37.5,4.17,0,0,0,0,0,0,4.17,8.33,16.67,0,8.33,4.17,0,4.17,4.17,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,4.17,0,0,0,0,4.17,0,4.17,0,0,4.17,0,0,0,4.17,0,4.17,0,4.17,20.83,0,12.5,8.33,4.17,0,0,8.33,0,0,0,0,0,0,0,0,16.67,4.17,4.17,0,0,0,0,4.17,0,0,0,4.17
10,text10.txt,1,21,92.84,68.29,2.82,25.77,21,33.33,47.62,19.05,4.76,0,0,0,0,0,0,4.76,4.76,4.76,0,0,4.76,0,4.76,4.76,4.76,0,9.52,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,9.52,4.76,0,4.76,0,0,0,4.76,0,9.52,0,9.52,0,0,0,0,9.52,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,0,0,0,0,0,0,4.76
